Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S5P2_30705,6972.7,26448.8,Others,S5P1_2,-6.892228711,-2.07199303
S5P2_30707,6993.5,26449.3,Others,S5P1_2,-7.104153264,-3.023893989
S5P2_30712,6954.8,26454.9,Others,S5P1_2,-6.623093713,-1.959662116
S5P2_30717,6968.2,26461,Fibroblast,S5P1_2,-5.991982568,0.027832213
S5P2_30724,6940.8,26461.7,Others,S5P1_2,-6.829849351,-2.632600701
S5P2_30727,6991.9,26462.6,Fibroblast,S5P1_2,-5.508430112,-0.059468715
S5P2_30736,6982.7,26467.3,VEC,S5P1_2,-4.960435021,5.634616458
S5P2_30744,6975.1,26471,Others,S5P1_2,-6.429086316,-1.394144333
S5P2_30749,6992.4,26472.9,Ducts,S5P1_2,3.839183461,2.889665448
S5P2_30752,6955.9,26471.6,Fibroblast,S5P1_2,-5.152536023,-0.231175831
S5P2_30755,6966.3,26473.2,Ducts,S5P1_2,3.72138561,2.829354369
S5P2_30770,6944.7,26477.7,VEC,S5P1_2,-4.766698468,5.713744723
S5P2_30771,6974.1,26478.6,Ducts,S5P1_2,3.792501104,2.867212855
S5P2_30772,6989.7,26480.7,Fibroblast,S5P1_2,-5.373474705,0.226694294
S5P2_30773,6998.5,26479.4,Ducts,S5P1_2,3.812618148,2.881632173
S5P2_30775,6963,26482.3,Ducts,S5P1_2,3.80250324,2.912925326
S5P2_30776,6955.5,26480.5,Ducts,S5P1_2,3.782590043,2.887379968
S5P2_30789,6969.4,26489.8,Ducts,S5P1_2,4.396579158,2.936443889
S5P2_30790,6977.4,26485.1,Ducts,S5P1_2,4.366164577,2.929659211
S5P2_30791,6952.1,26490.4,Ducts,S5P1_2,4.370511901,2.91321119
S5P2_30797,6937.7,26485.1,Ducts,S5P1_2,-4.341868031,5.847075068
S5P2_30798,6960.2,26490.9,Ducts,S5P1_2,4.380712402,2.923854196
S5P2_30800,6981.3,26494.8,Acini,S5P1_2,4.399201286,2.872877919
S5P2_30805,6991.5,26491.2,Ducts,S5P1_2,4.308836353,2.948578202
S5P2_30812,6931.2,26490.7,VEC,S5P1_2,-4.780263531,5.766199195
S5P2_30813,6993.6,26498.9,Acini,S5P1_2,4.376531493,2.906323516
S5P2_30815,6945.9,26496.4,Ducts,S5P1_2,4.367337119,2.976326787
S5P2_30823,6926.6,26498.4,VEC,S5P1_2,-6.850700009,-2.116610444
S5P2_30826,6939,26500.1,Ducts,S5P1_2,4.009896171,2.937204921
S5P2_30829,6999.9,26504.3,Acini,S5P1_2,4.388949287,2.884769046
S5P2_30833,6951.4,26507.8,Ducts,S5P1_2,4.383279216,2.937881076
S5P2_30840,6938,26512,Ducts,S5P1_2,3.705979478,2.922991597
S5P2_30844,6924.5,26509,Fibroblast,S5P1_2,-4.755356419,5.201515281
S5P2_30863,6936.3,26520.6,Ducts,S5P1_2,4.36623038,2.925654494
S5P2_30872,6919.2,26523,Ducts,S5P1_2,3.758164775,2.902572
S5P2_30873,6935,26530.1,Acini,S5P1_2,7.182784927,-1.329346812
S5P2_30882,6922.6,26535.1,Ducts,S5P1_2,4.288071525,2.983607375
S5P2_30892,6917.3,26546.9,Ducts,S5P1_2,4.302324188,2.954480493
S5P2_30911,6992.4,26566,Ducts,S5P1_2,3.949249637,2.940313899
S5P2_30916,6985.7,26572.1,Ducts,S5P1_2,3.902929199,2.928194367
S5P2_30917,6975.2,26568.8,Acini,S5P1_2,4.33041991,2.906886899
