Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S6P1b_10000,4403.7,9125.7,Fibroblast,S6P1b,-7.169709143,2.039282036
S6P1b_10001,4449.4,9118.7,Myoepithelial,S6P1b,-0.549056706,-2.000703382
S6P1b_10002,3971.6,9126.9,Fibroblast,S6P1b,-8.295060096,-0.758736121
S6P1b_10003,4054.6,9123.1,Fibroblast,S6P1b,-3.99465507,7.514654112
S6P1b_10004,4069.8,9125.3,Fibroblast,S6P1b,-2.957382617,3.415411902
S6P1b_10005,4474.9,9126.6,Myoepithelial,S6P1b,2.392924132,0.311668811
S6P1b_10006,4395.5,9125.1,Myoepithelial,S6P1b,0.363175991,0.324323458
S6P1b_10007,4464.3,9122.2,Acini,S6P1b,5.872577729,-1.720396447
S6P1b_10008,4632.4,9121.8,Acini,S6P1b,-0.716228721,-3.51815133
S6P1b_10009,4041.7,9124.3,Fibroblast,S6P1b,-5.234590468,4.910373641
S6P1b_10010,4212.2,9125.5,Fibroblast,S6P1b,-7.727630553,2.413040829
S6P1b_10011,4436.2,9122.8,Acini,S6P1b,-1.096229968,-5.51868205
S6P1b_10012,4587.6,9129.5,Acini,S6P1b,6.961626115,-2.292906093
S6P1b_10013,4527.9,9124,Fibroblast,S6P1b,-6.53445476,3.446946812
S6P1b_10014,4562.6,9128.4,Fibroblast,S6P1b,-6.735053954,2.919990969
S6P1b_10015,4519.6,9130.4,Fibroblast,S6P1b,-6.162380633,4.102334929
S6P1b_10016,4643.7,9131,Acini,S6P1b,3.825152221,-4.344039487
S6P1b_10017,4217.2,9131.8,Fibroblast,S6P1b,-6.892279563,3.839440537
S6P1b_10018,4339.1,9128.7,Acini,S6P1b,-0.868163583,-3.125006008
S6P1b_10019,4545.6,9128.4,Fibroblast,S6P1b,-5.533192096,4.630052996
S6P1b_10020,4694.5,9127.9,Acini,S6P1b,-2.495364365,-4.036640691
S6P1b_10021,4199.7,9128.6,Fibroblast,S6P1b,-5.66449636,2.337449742
S6P1b_10022,4459.1,9132.5,Fibroblast,S6P1b,-2.209670482,-2.410939025
S6P1b_10023,4134,9125.9,Acini,S6P1b,0.34980728,-5.702408838
S6P1b_10024,4231.4,9128.2,Acini,S6P1b,2.530796352,-3.657005357
S6P1b_10025,4451.1,9129.6,Fibroblast,S6P1b,-1.874915061,1.081405056
S6P1b_10026,4706.6,9130.4,Others,S6P1b,-2.023102698,-3.120386171
S6P1b_10027,4062.6,9130.9,Fibroblast,S6P1b,-3.144772706,8.909528208
S6P1b_10028,4575.2,9134,Others,S6P1b,3.692494693,-3.425724792
S6P1b_10029,4152.8,9132.6,Others,S6P1b,3.76579267,-4.785058069
S6P1b_10030,4509.4,9132.8,Fibroblast,S6P1b,-5.874537883,4.679182006
S6P1b_10031,4631,9132.5,Acini,S6P1b,-2.855390487,-5.09485774
S6P1b_10032,4531.1,9133.2,Fibroblast,S6P1b,-7.190501151,1.905008627
S6P1b_10033,4120,9130.2,Acini,S6P1b,-2.690937219,-5.801313924
S6P1b_10034,4049.3,9133.2,Fibroblast,S6P1b,-3.401746926,8.351988269
S6P1b_10035,4389.8,9135.8,Acini,S6P1b,-2.348089871,-4.351285028
S6P1b_10036,4031,9133.3,Fibroblast,S6P1b,-5.714716849,3.444224072
S6P1b_10037,4243.8,9134.9,Ducts,S6P1b,3.667689147,1.844645692
S6P1b_10038,4415.5,9138.3,Acini,S6P1b,5.289412561,-2.433344173
S6P1b_10039,4345.1,9136.1,Acini,S6P1b,1.903190913,-3.457956123
S6P1b_10040,4444.7,9134.3,Fibroblast,S6P1b,-3.626807151,4.122602416
S6P1b_10041,4070.5,9140.8,Fibroblast,S6P1b,3.866484704,-1.28980081
S6P1b_10042,4228,9136.3,Acini,S6P1b,6.391943517,-2.763221073
S6P1b_10043,4162.9,9141,Others,S6P1b,-0.618553398,-2.241792487
S6P1b_10044,4041.4,9140.4,Fibroblast,S6P1b,-4.498337684,5.929923487
S6P1b_10045,4015.4,9136.3,Others,S6P1b,-3.475524602,-5.518842744
S6P1b_10046,4431.8,9135.2,Others,S6P1b,1.554810825,-4.982529687
S6P1b_10047,4694.8,9140.1,Acini,S6P1b,-1.630616484,-5.456836748
S6P1b_10048,4060.2,9138.1,Fibroblast,S6P1b,-4.031222758,7.456765605
S6P1b_10049,4235.8,9139.1,Ducts,S6P1b,6.662819448,0.68136431
S6P1b_10050,4256.2,9138.7,Acini,S6P1b,0.833875659,-5.545657682
S6P1b_10051,4298.4,9138.7,Others,S6P1b,0.79672307,-3.89130454
S6P1b_10052,4134.6,9141.3,Acini,S6P1b,5.27250773,-3.286039161
S6P1b_10053,4401.1,9142.7,Others,S6P1b,2.057685318,-3.944309759
S6P1b_10054,4535,9140,Fibroblast,S6P1b,-3.79718059,7.855178309
S6P1b_10055,4185.5,9140.8,Acini,S6P1b,1.885959807,-2.989106941
S6P1b_10056,4438.9,9142.3,Fibroblast,S6P1b,-3.586516318,7.981677008
S6P1b_10057,4625.6,9138.5,Acini,S6P1b,-3.244851289,-5.558804082
